Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,2375.000000,2387.000000,2357.600098,2369.120117,2302.465332,112320
2018-01-02,2369.120117,2371.120117,2322.000000,2328.020020,2262.521240,176798
2018-01-03,2329.500000,2354.979980,2328.270020,2340.479980,2274.630859,166046
2018-01-04,2329.500000,2344.449951,2305.070068,2313.199951,2248.118408,334700
2018-01-05,2331.000000,2339.750000,2307.179932,2322.050049,2256.719238,264116
2018-01-08,2330.000000,2355.500000,2313.820068,2346.879883,2280.851074,176830
2018-01-09,2350.000000,2356.679932,2312.429932,2320.979980,2255.679443,244280
2018-01-10,2328.429932,2354.500000,2315.750000,2337.379883,2271.618164,388758
2018-01-11,2335.000000,2374.500000,2316.000000,2360.770020,2294.349854,223436
2018-01-12,2367.500000,2384.500000,2330.679932,2354.149902,2287.916260,257274
2018-01-15,2354.149902,2393.000000,2352.500000,2359.929932,2293.533691,177464
2018-01-16,2362.000000,2386.500000,2300.500000,2338.679932,2272.881592,336198
2018-01-17,2340.000000,2376.500000,2320.020020,2374.899902,2308.082520,205684
2018-01-18,2379.850098,2389.399902,2303.000000,2315.750000,2250.596436,355846
2018-01-19,2332.500000,2346.399902,2315.000000,2342.229980,2276.331787,131186
2018-01-22,2337.500000,2376.000000,2335.000000,2353.679932,2287.459717,161802
2018-01-23,2342.500000,2380.270020,2324.620117,2368.229980,2301.600098,200710
2018-01-24,2368.199951,2377.570068,2340.520020,2359.620117,2293.232422,160134
2018-01-25,2359.600098,2359.600098,2300.500000,2312.800049,2247.729736,796634
2018-01-29,2320.000000,2355.000000,2303.500000,2346.050049,2280.044189,220442
2018-01-30,2334.500000,2370.020020,2320.100098,2352.800049,2286.604248,258332
2018-01-31,2345.000000,2356.199951,2323.600098,2342.070068,2276.176025,143774
2018-02-01,2342.120117,2380.850098,2327.929932,2370.250000,2303.563232,297688
2018-02-02,2337.750000,2370.000000,2288.500000,2363.229980,2296.740967,374368
2018-02-05,2349.500000,2349.500000,2280.000000,2308.350098,2243.405029,354840
2018-02-06,2250.000000,2310.250000,2200.000000,2265.229980,2201.498047,274268
2018-02-07,2307.449951,2312.500000,2246.520020,2275.229980,2211.216553,256576
2018-02-08,2274.929932,2327.000000,2257.750000,2314.000000,2248.896240,199332
2018-02-09,2263.020020,2339.899902,2263.020020,2320.570068,2255.281006,241482
2018-02-12,2335.000000,2395.000000,2335.000000,2386.250000,2319.113281,429514
2018-02-14,2432.500000,2437.899902,2373.179932,2382.070068,2315.050537,699924
2018-02-15,2393.899902,2408.179932,2350.770020,2377.879883,2310.978516,165652
2018-02-16,2400.500000,2405.000000,2368.000000,2390.979980,2323.710205,165568
2018-02-19,2390.750000,2390.750000,2347.949951,2366.649902,2300.064453,89962
2018-02-20,2364.000000,2390.000000,2362.500000,2367.050049,2300.453613,265356
2018-02-21,2387.500000,2393.449951,2369.800049,2384.879883,2317.781494,246902
2018-02-22,2387.000000,2437.500000,2375.679932,2427.929932,2359.620361,424906
2018-02-23,2450.000000,2489.500000,2437.550049,2480.949951,2411.148682,305410
2018-02-26,2482.800049,2499.000000,2472.020020,2482.379883,2412.538574,224702
2018-02-27,2487.500000,2532.899902,2455.250000,2476.120117,2406.454834,427034
2018-02-28,2465.000000,2504.649902,2448.649902,2497.120117,2426.864014,180960
2018-03-01,2492.500000,2499.979980,2460.000000,2471.929932,2402.382568,105070
2018-03-05,2456.000000,2469.729980,2445.699951,2451.229980,2382.264893,157468
2018-03-06,2447.500000,2467.449951,2393.520020,2412.600098,2344.721924,156356
2018-03-07,2412.500000,2457.500000,2390.000000,2442.350098,2373.635010,253844
