Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,30399.900391,30420.000000,29850.000000,29893.199219,29099.765625,19847
2018-01-02,29925.000000,29955.000000,28539.699219,28670.199219,27909.224609,84793
2018-01-03,28850.000000,29045.000000,28542.199219,28814.300781,28049.503906,47088
2018-01-04,28825.699219,28957.599609,28415.000000,28570.800781,27812.464844,49421
2018-01-05,28797.000000,29325.000000,28686.199219,29237.000000,28460.982422,52777
2018-01-08,29400.000000,29400.000000,29040.099609,29197.400391,28422.433594,32924
2018-01-09,29201.000000,29241.699219,28510.699219,28596.900391,27837.873047,82718
2018-01-10,28620.000000,28699.900391,28000.000000,28097.500000,27351.726563,84202
2018-01-11,28100.000000,28525.000000,27820.500000,28444.699219,27689.708984,60091
2018-01-12,28520.000000,28780.000000,28211.000000,28649.800781,27889.369141,59657
2018-01-15,28750.000000,28750.000000,27900.000000,27981.500000,27238.806641,57594
2018-01-16,28010.000000,28150.000000,27701.000000,27891.199219,27150.902344,46537
2018-01-17,27800.000000,28301.000000,27680.099609,28222.800781,27473.701172,47595
2018-01-18,28228.800781,28479.000000,27811.099609,27954.400391,27212.427734,49399
2018-01-19,27880.000000,28188.300781,27751.000000,28009.400391,27265.968750,32459
2018-01-22,28009.400391,28097.800781,27590.000000,27649.800781,26915.912109,34466
2018-01-23,27700.000000,27829.400391,27020.000000,27071.199219,26352.666016,117399
2018-01-24,27006.000000,27050.000000,26302.199219,26404.099609,25703.273438,94058
2018-01-25,26500.000000,26730.000000,26208.099609,26519.400391,25815.513672,175472
2018-01-29,26730.000000,27849.000000,26566.099609,27453.699219,26725.015625,127423
2018-01-30,27450.000000,27453.000000,26559.000000,26689.400391,25981.000000,141663
2018-01-31,26827.300781,27387.000000,26525.199219,26923.599609,26208.984375,137766
2018-02-01,26984.000000,28300.000000,26714.500000,28047.300781,27302.861328,125564
2018-02-02,27901.000000,28521.500000,27200.000000,27811.800781,27073.609375,149859
2018-02-05,27300.000000,27799.000000,27300.000000,27537.900391,26806.978516,48683
2018-02-06,26545.599609,28050.000000,26500.000000,27579.199219,26847.183594,61408
2018-02-07,27919.699219,28410.900391,27120.099609,28010.400391,27266.941406,138851
2018-02-08,28230.000000,28350.000000,27810.000000,28198.000000,27449.558594,68533
